,vid_id,iou
521,FUvUDCZxAO8,0.07366751262770575
522,xqI9M6QiHws,0.07411156906705398
523,fG7iLOObw30,0.07428794163492672
524,EvJqfGXb5Fo,0.0743618750674873
525,DfFqlrv7F2g,0.07467677086150747
526,Lf3oTCD4d08,0.07480842579274853
527,Wzg4d-3ym1E,0.07504071273592758
528,x7-2_HigN8c,0.075065828843891
529,Bh35Q9vNsSA,0.07559454964901524
530,lGESoAdgps8,0.0763097088695021
531,Iiwz1JtC7rk,0.07653214262690504
532,6VygM9-XgAk,0.0771071082091615
533,KbEoaYhMZ6c,0.07777354143375739
534,U7QjLGMeGOo,0.0778634479922475
535,kTBEGydNpgg,0.07788115416257774
536,E3UCEbGZmz0,0.07795411947174807
537,57buK1yvKPk,0.07800221756638356
538,tVC_5_SgseY,0.07800306878518569
539,XncWGxekE30,0.07879069288796081
540,39HCogCoD7Y,0.07907125122736268
541,MxKuqpxmKKk,0.07976254834588661
542,t6f_O8a4sSg,0.08039750900245742
543,1fbU_MkV7NE,0.08044857329736152
544,qhnWJ4G5JMA,0.08083693165184785
545,wyOf_L4cNHc,0.08118697561025001
546,FsS_NCZEfaI,0.0812990840740586
547,P3kWD8Oocio,0.08168553784674686
548,ecUypvzBAOQ,0.08182592962575483
549,vGcH8N8sJlM,0.0818928087219905
550,S8oIiWRiIfE,0.08193213168105133
551,KFS_lGlO-Ew,0.08194211841377841
552,AZx_lm2XLHk,0.08210224358385425
553,TspdPLMqTx0,0.08229904364261237
554,xuq9oRm8QZo,0.08255997583001473
555,7H4-gDM3r0w,0.08259083310541557
556,OCdmlTxq1Co,0.0830583524517839
557,Lr5GuPjfU7Q,0.08315812397436578
558,8RMrbKCQheM,0.08337081660872328
559,2GACaR0GdD8,0.08440364278459661
560,xzmcOKHP-sM,0.08465051792086785
561,rWdXyKZnL2U,0.08484380997327091
562,6j-H-tIjJvA,0.08491459370363354
563,M2wdIwZMNm8,0.08515108790642162
564,ZOQSDsJYXIA,0.0852422090832765
565,WzDnorAzWVU,0.08526127950103991
566,jDeBuorU4hY,0.08527492722401687
567,5wQLpjdsRUg,0.08580455031410184
568,cw0HRDIQ10I,0.08595556929052285
569,CaQkeVwKiUs,0.08604282192625169
570,LaWlIUKH3PU,0.08627837295250627
571,roavmdw1ORo,0.08628272608744803
572,VRwI8Iydb_o,0.08676379420691571
573,_8aVDfNQtq0,0.08688943869503536
574,b8pCuIPzb3o,0.0869489815667655
575,RpH774VD6Hw,0.08723599985756343
576,fPCfTJLh46A,0.0875288460787902
577,_D9oML1HvVw,0.08800279061456297
578,4WUFEnFE5sY,0.08822855225954476
579,zE0vlPLBVJo,0.08824543000526831
580,RKDjetk5Kko,0.08834841927989413
581,6RePzOd3GvQ,0.08888232947258869
582,mzbhfWgJ2sU,0.08937495941953577
583,okSvWjK0okw,0.08978545760888414
584,0KTued0g034,0.08981545143857522
585,AUHORHUgC-s,0.09008768844574733
586,3KmMvfdidvQ,0.09030174825141332
587,G6ayznrS0tY,0.09032024198388991
588,dGxJGvw_sUg,0.09037859409789173
589,-TddN8oBvhQ,0.09070075554702577
590,DXhVbxfmrYM,0.09111237922989897
591,x4c_wI6kQyE,0.09114513000906996
592,FEqLmpNzxdg,0.09127995690531149
593,s4Ryxk3TxKA,0.09130623649122231
594,n1NqFiDdlEU,0.09139206650399782
595,R0B5bBr6t8w,0.09166036463327723
596,38ZxXyECPPU,0.09176805012945205
597,n9TuUTNpKwg,0.09195272298288794
598,J76bFZWXHFY,0.09218217310592261
599,OFe8toY6Ch4,0.09252997614273237
600,TDROfnEk0NQ,0.09261743731871916
601,tFjGMdff3WM,0.09271565153728102
602,JKa3jnnowNo,0.0937807487336021
603,33eH3ozXLmU,0.09431457478922489
604,ywsH9kD033I,0.09436647551585053
605,aVH9QsSATKM,0.09442291479836668
606,o0cVs7THLi8,0.09454910170914933
